"","year","Model","Model2","Model3","Model4","Price","Milage","Autom","rul","gas","color","Other","View","Date","ID","Fullname","volume","condition","privod","url"
"328","2011","VAZ (Lada)","2107",NA,NA,"2300","105000","Manual","Left","Gas",NA,NA,NA,"21.04.2019","autopro 3","VAZ (Lada) 2107 1.7 инжектор","1.7 լ","Excellent","backward","https://autopro.am/car.php?id=31193"
"428","2007","VAZ (Lada)","2115",NA,NA,"3000","122000","Manual","Left","Gas/Gasoline",NA,NA,NA,"18.04.2019","autopro 4","VAZ (Lada) 2115","1.6 լ","Excellent","forward","https://autopro.am/car.php?id=31169"
"510","2006","Nissan Tiida","",NA,NA,"3300","100500","Automatic","Right","Gasoline",NA,NA,NA,"23.02.2019","autopro 5","Nissan Tiida","1.5 լ","Excellent","forward","https://autopro.am/car.php?id=30840"
"610","2002","Opel Astra","G",NA,NA,"3300","140000","Manual","Left","Gas/Gasoline",NA,NA,NA,"02.02.2019","autopro 6","Opel Astra G","1.6 լ","Excellent","forward","https://autopro.am/car.php?id=30760"
"78","2005","Hyundai Accent","Verna",NA,NA,"4000","147000","Automatic","Left","Dizel",NA,NA,NA,"24.01.2019","autopro 7","Hyundai Accent Verna","1.5 լ","Excellent","forward","https://autopro.am/car.php?id=30734"
"88","2008","VAZ (Lada)","2170",NA,NA,"5000","110000","Manual","Left","Gasoline",NA,NA,NA,"12.12.2018","autopro 8","VAZ (Lada) 2170 Priora","1.6 լ","Excellent","forward","https://autopro.am/car.php?id=30528"
"98","2005","Nissan Skyline","",NA,NA,"3800","102000","Automatic","Right","Gasoline",NA,NA,NA,"07.11.2018","autopro 9","Nissan Skyline","2.5 լ","Excellent","backward","https://autopro.am/car.php?id=30412"
"108","2004","Nissan Tiida","",NA,NA,"4500","115000","Automatic","Right","Gas",NA,NA,NA,"16.08.2018","autopro 10","Nissan Tiida","1.5 լ","Excellent","forward","https://autopro.am/car.php?id=30183"
"118","2003","Nissan Teana","2.3JK",NA,NA,"4250","135000","Automatic","Right","Gasoline",NA,NA,NA,"27.07.2018","autopro 11","Nissan Teana 2.3JK","2.3 լ","Excellent","forward","https://autopro.am/car.php?id=29993"
"128","2003","Nissan Elgrand","AYo",NA,NA,"4500","126000","Automatic","Right","Gas",NA,NA,NA,"24.04.2018","autopro 12","Nissan Elgrand AYo","3.5 լ","Excellent","full","https://autopro.am/car.php?id=29763"
"138","2012","VAZ (Lada)","2170",NA,NA,"4200","110000","Manual","Left","Gas/Gasoline",NA,NA,NA,"15.04.2018","autopro 13","VAZ (Lada) 2170 Priora","","Excellent","","https://autopro.am/car.php?id=29746"
"148","2001","Mitsubishi Pajero","",NA,NA,"3700","000000","Automatic","Left","Gas/Gasoline",NA,NA,NA,"12.03.2018","autopro 14","Mitsubishi Pajero","2.0 լ","Excellent","full","https://autopro.am/car.php?id=29619"
"158","2006","Nissan Blue","Bird",NA,NA,"4000","130000","Automatic","Right","Gasoline",NA,NA,NA,"08.03.2018","autopro 15","Nissan Blue Bird","","Excellent","","https://autopro.am/car.php?id=29607"
"168","2005","Mercedes-Benz 230","",NA,NA,"4000","127000","Automatic","Left","Gasoline",NA,NA,NA,"26.02.2018","autopro 16","Mercedes-Benz 230","","Excellent","","https://autopro.am/car.php?id=29569"
"178","2009","Nissan Blue","Bird",NA,NA,"4200","105000","Automatic","Right","Gasoline",NA,NA,NA,"18.01.2018","autopro 17","Nissan Blue Bird","2.0 լ","Excellent","","https://autopro.am/car.php?id=29418"
"188","2002","BMW 320","M",NA,NA,"4400","130000","Automatic","Right","Gasoline",NA,NA,NA,"18.01.2018","autopro 18","BMW 320 M SPORT","2.2 լ","Excellent","","https://autopro.am/car.php?id=29416"
"198","2005","Nissan Fuga","",NA,NA,"4700","127329","Automatic","Right","Gasoline",NA,NA,NA,"18.01.2018","autopro 19","Nissan Fuga","3.5 լ","Excellent","","https://autopro.am/car.php?id=29413"
"208","2004","Nissan Skyline","",NA,NA,"4200","122000","Automatic","Right","Gasoline",NA,NA,NA,"25.10.2017","autopro 20","Nissan Skyline","2.5 լ","Excellent","backward","https://autopro.am/car.php?id=29110"
"2112","2002","Volkswagen Golf","",NA,NA,"4500","124000","Automatic","Left","Gasoline",NA,NA,NA,"01.10.2017","autopro 21","Volkswagen Golf","2.0 լ","Excellent","forward","https://autopro.am/car.php?id=29017"
"2210","2004","Nissan Teana","",NA,NA,"5000","130000","Automatic","Left","Gasoline",NA,NA,NA,"15.09.2017","autopro 22","Nissan Teana","2.3 լ","Excellent","","https://autopro.am/car.php?id=28959"
"238","2003","Nissan Teana","",NA,NA,"4000","115000","Automatic","Right","Gas/Gasoline",NA,NA,NA,"01.09.2017","autopro 23","Nissan Teana","2.3 լ","Excellent","forward","https://autopro.am/car.php?id=28922"
"248","2003","Mazda Demio","",NA,NA,"3200","108000","Automatic","Right","Gas/Gasoline",NA,NA,NA,"25.02.2017","autopro 24","Mazda Demio","1.3 լ","Excellent","forward","https://autopro.am/car.php?id=28241"
"258","2007","Nissan Tiida","Latio",NA,NA,"4000","136000","Automatic","Right","Gasoline",NA,NA,NA,"19.02.2017","autopro 25","Nissan Tiida Latio","1.5 լ","Excellent","full","https://autopro.am/car.php?id=28209"
"268","2006","KIA Cerato","EX",NA,NA,"4700","1","Manual","Left","Gas/Gasoline",NA,NA,NA,"21.10.2016","autopro 26","KIA Cerato EX","1.6 լ","Excellent","forward","https://autopro.am/car.php?id=27672"
"278","2002","Mitsubishi Colt","1",NA,NA,"3500","150000","Automatic","Right","Gas/Gasoline",NA,NA,NA,"14.10.2016","autopro 27","Mitsubishi Colt 1","1.3 լ","Excellent","forward","https://autopro.am/car.php?id=27647"
"288","2004","VAZ (Lada)","2110",NA,NA,"2200","100000","Manual","Left","Gasoline",NA,NA,NA,"28.08.2016","autopro 28","VAZ (Lada) 2110","","Excellent","","https://autopro.am/car.php?id=27446"
"298","2003","VAZ (Lada)","2110",NA,NA,"2300","111111","Manual","Left","Gas",NA,NA,NA,"07.06.2016","autopro 29","VAZ (Lada) 2110","1.5 լ","Excellent","forward","https://autopro.am/car.php?id=27095"
"308","2004","Nissan Teana","JM230",NA,NA,"5000","130000","Automatic","Right","Gas/Gasoline",NA,NA,NA,"24.03.2016","autopro 30","Nissan Teana JM230","2.3 լ","Excellent","forward","https://autopro.am/car.php?id=26565"
"3111","2005","Gaz 31105","ELEGACE",NA,NA,"3400","126000","Manual","Left","Gas/Gasoline",NA,NA,NA,"29.11.2015","autopro 31","Gaz 31105 ELEGACE","2.4 լ","Excellent","backward","https://autopro.am/car.php?id=25096"
"329","2007","VAZ (Lada)","2107",NA,NA,"3600","15000","Manual","Left","Gas/Gasoline",NA,NA,NA,"26.10.2015","autopro 32","VAZ (Lada) 2107 ayo","1.2 լ","Excellent","backward","https://autopro.am/car.php?id=24748"
"337","2004","Rover 45","pagovi",NA,NA,"4500","140000","Manual","Left","Gas/Gasoline",NA,NA,NA,"23.10.2015","autopro 33","Rover 45 pagovi","1.6 լ","Excellent","forward","https://autopro.am/car.php?id=24715"
"347","2003","Nissan Teana","2.3",NA,NA,"3900","123000","Automatic","Right","Gasoline",NA,NA,NA,"19.10.2015","autopro 34","Nissan Teana 2.3 jm","2.3 լ","Excellent","forward","https://autopro.am/car.php?id=24655"
"357","2008","VAZ (Lada)","2107",NA,NA,"2100","130000","Manual","Left","Gas/Gasoline",NA,NA,NA,"15.09.2015","autopro 35","VAZ (Lada) 2107 2008","1.7 լ","Excellent","","https://autopro.am/car.php?id=24233"
"367","2008","VAZ (Lada)","2170",NA,NA,"5000","114000","Manual","Left","Gasoline",NA,NA,NA,"09.09.2015","autopro 36","VAZ (Lada) 2170 Priora expert","1.7 լ","Excellent","forward","https://autopro.am/car.php?id=24135"
"377","2003","Nissan Teana","",NA,NA,"4800","130000","Automatic","Right","Gasoline",NA,NA,NA,"02.09.2015","autopro 37","Nissan Teana","2.3 լ","Excellent","","https://autopro.am/car.php?id=24056"
"387","2008","VAZ (Lada)","2170",NA,NA,"5000","114000","Manual","Left","Gasoline",NA,NA,NA,"25.08.2015","autopro 38","VAZ (Lada) 2170 Priora 21073 EXPERT","1.7 լ","Excellent","forward","https://autopro.am/car.php?id=23917"
"397","2003","Nissan Teana","J31",NA,NA,"4300","11000","Automatic","Right","Gas",NA,NA,NA,"23.08.2015","autopro 39","Nissan Teana J31","2.3 լ","Excellent","","https://autopro.am/car.php?id=23872"
"407","2002","Nissan Skyline","2wd",NA,NA,"4500","100000","Semiautomatic","Right","Gasoline",NA,NA,NA,"23.07.2015","autopro 40","Nissan Skyline 2wd","2.5 լ","Excellent","backward","https://autopro.am/car.php?id=23516"
"4111","2008","VAZ (Lada)","2107",NA,NA,"4000","111","Manual","Left","Gasoline",NA,NA,NA,"28.04.2015","autopro 41","VAZ (Lada) 2107 poxanakum","","Excellent","","https://autopro.am/car.php?id=22316"
"429","2001","Ford Mondeo","",NA,NA,"4000","148000","Manual","Left","Gas/Gasoline",NA,NA,NA,"30.01.2015","autopro 42","Ford Mondeo","1.8 լ","Excellent","forward","https://autopro.am/car.php?id=20332"
"437","2005","Honda Mobilio","",NA,NA,"3800","130000","Automatic","Right","Gas/Gasoline",NA,NA,NA,"25.12.2014","autopro 43","Honda Mobilio","1.5 լ","Excellent","forward","https://autopro.am/car.php?id=19570"
"447","2005","Nissan March","093045099",NA,NA,"3500","100000","Automatic","Right","Gasoline",NA,NA,NA,"23.12.2014","autopro 44","Nissan March 093045099","1.2 լ","Excellent","forward","https://autopro.am/car.php?id=19553"
"457","2005","VAZ (Lada)","2107",NA,NA,"4000","110000","Manual","Left","Gas/Gasoline",NA,NA,NA,"30.11.2014","autopro 45","VAZ (Lada) 2107","1.6 լ","Excellent","backward","https://autopro.am/car.php?id=19033"
"467","2006","Gaz 31105","",NA,NA,"3500","150000","Manual","Left","Gas/Gasoline",NA,NA,NA,"27.11.2014","autopro 46","Gaz 31105","2.4 լ","Excellent","backward","https://autopro.am/car.php?id=18970"
"477","2005","VAZ (Lada)","2110",NA,NA,"3500","144065","Manual","Left","Gas/Gasoline",NA,NA,NA,"06.11.2014","autopro 47","VAZ (Lada) 2110","1.6 լ","Excellent","forward","https://autopro.am/car.php?id=18564"
"487","2007","Nissan Tiida","",NA,NA,"3600","139000","Automatic","Right","Gasoline",NA,NA,NA,"22.07.2014","autopro 48","Nissan Tiida","1.5 լ","Excellent","forward","https://autopro.am/car.php?id=16446"
"497","2005","Nissan March","",NA,NA,"3600","120000","Automatic","Right","Gasoline",NA,NA,NA,"10.07.2014","autopro 49","Nissan March","1.2 լ","Excellent","forward","https://autopro.am/car.php?id=16205"
"507","2001","Opel Vectra","B",NA,NA,"4800","144000","Manual","Left","Gasoline",NA,NA,NA,"02.07.2014","autopro 50","Opel Vectra B","1.8 լ","Excellent","forward","https://autopro.am/car.php?id=16039"
"517","2006","VAZ (Lada)","2110",NA,NA,"4000","117000","Manual","Left","Gas/Gasoline",NA,NA,NA,"23.06.2014","autopro 51","VAZ (Lada) 2110","1.6 լ","Excellent","forward","https://autopro.am/car.php?id=15827"
"521","2003","VAZ (Lada)","2107",NA,NA,"2500","150000","Manual","Left","Gas/Gasoline",NA,NA,NA,"23.06.2014","autopro 52","VAZ (Lada) 2107","1.6 լ","Excellent","backward","https://autopro.am/car.php?id=15809"
"531","2006","VAZ (Lada)","2110",NA,NA,"4800","130000","Manual","Left","Gas/Gasoline",NA,NA,NA,"30.03.2014","autopro 53","VAZ (Lada) 2110","1.6 լ","Excellent","forward","https://autopro.am/car.php?id=14115"
"541","2001","Mercedes-Benz A","160",NA,NA,"4900","11800","Automatic","Left","Gasoline",NA,NA,NA,"28.03.2014","autopro 54","Mercedes-Benz A 160 .","1.6 լ","Excellent","forward","https://autopro.am/car.php?id=14083"
"551","2004","Opel Corsa","MEQENAN",NA,NA,"4400","132000","Manual","Left","Gasoline",NA,NA,NA,"22.03.2014","autopro 55","Opel Corsa MEQENAN BERVELE BELG","1.4 լ","Excellent","forward","https://autopro.am/car.php?id=13919"
"561","2003","VAZ (Lada)","2110",NA,NA,"4700","104000","Manual","Left","Gas/Gasoline",NA,NA,NA,"18.03.2014","autopro 56","VAZ (Lada) 2110","1.5 լ","Excellent","forward","https://autopro.am/car.php?id=13808"
"571","2003","Gaz 3110","Volga",NA,NA,"3950","140000","Manual","Left","Gasoline",NA,NA,NA,"20.02.2014","autopro 57","Gaz 3110 Volga","2.0 լ","Excellent","backward","https://autopro.am/car.php?id=13151"
"581","2001","VAZ (Lada)","2110",NA,NA,"4000","106340","Manual","Left","Gasoline",NA,NA,NA,"09.01.2014","autopro 58","VAZ (Lada) 2110","1.5 լ","Excellent","forward","https://autopro.am/car.php?id=12138"
"59","2007","VAZ (Lada)","2110",NA,NA,"3600","105000","Manual","Left","Gas/Gasoline",NA,NA,NA,"25.10.2013","autopro 59","VAZ (Lada) 2110","1.6 լ","Excellent","","https://autopro.am/car.php?id=10416"
"60","2004","Mazda Demio","",NA,NA,"4700","133000","Automatic","Right","Gasoline",NA,NA,NA,"01.10.2013","autopro 60","Mazda Demio","1.3 լ","Excellent","","https://autopro.am/car.php?id=9697"
"611","2003","Gaz 3102","",NA,NA,"4500","133000","Manual","Left","Gas/Gasoline",NA,NA,NA,"22.09.2013","autopro 61","Gaz 3102","2.4 լ","Excellent","backward","https://autopro.am/car.php?id=9390"
"621","2002","Honda Fit","1.3",NA,NA,"4888","130000","Automatic","Right","Gasoline",NA,NA,NA,"16.09.2013","autopro 62","Honda Fit 1.3 AVTOMAT","1.3 լ","Excellent","forward","https://autopro.am/car.php?id=9172"
"631","2004","VAZ (Lada)","2107",NA,NA,"4000","120000","Manual","Left","Gas/Gasoline",NA,NA,NA,"14.08.2013","autopro 63","VAZ (Lada) 2107","1.6 լ","Excellent","backward","https://autopro.am/car.php?id=7980"
"641","2005","VAZ (Lada)","2115",NA,NA,"5000","147000","Manual","Left","Gas/Gasoline",NA,NA,NA,"14.07.2013","autopro 64","VAZ (Lada) 2115","1.5 լ","Excellent","forward","https://autopro.am/car.php?id=6754"
"651","2003","Nissan March","",NA,NA,"4500","118630","Automatic","Right","Gasoline",NA,NA,NA,"29.05.2013","autopro 65","Nissan March","1.2 լ","Excellent","forward","https://autopro.am/car.php?id=4732"
"661","2001","Daihatsu Coure","",NA,NA,"2700","100000","Manual","Left","Gasoline",NA,NA,NA,"21.05.2013","autopro 66","Daihatsu Coure","1.0 լ","Excellent","forward","https://autopro.am/car.php?id=4353"
"671","2006","VAZ (Lada)","2107",NA,NA,"5000","100000","Manual","Left","Gas/Gasoline",NA,NA,NA,"19.05.2013","autopro 67","VAZ (Lada) 2107","1.6 լ","Excellent","backward","https://autopro.am/car.php?id=4247"
"68","2004","VAZ (Lada)","2115",NA,NA,"4450","1","Manual","Left","Gasoline",NA,NA,NA,"11.04.2013","autopro 68","VAZ (Lada) 2115","1.5 լ","Excellent","forward","https://autopro.am/car.php?id=2714"
"69","2004","Nissan March","1.2L",NA,NA,"4800","100000","Automatic","Right","Gasoline",NA,NA,NA,"23.02.2013","autopro 69","Nissan March 1.2L","1.2 լ","Excellent","forward","https://autopro.am/car.php?id=1166"
"70","2013","VAZ (Lada)","2101",NA,NA,"2200","111","Manual","Left","Gas/Gasoline",NA,NA,NA,"13.02.2013","autopro 70","VAZ (Lada) 2101","1.6 լ","Excellent","backward","https://autopro.am/car.php?id=837"
"...450","2010",NA,NA,NA,NA,"3400","47000",NA,NA,"Gas",NA,NA,NA,NA,"list 1","VAZ (Lada) 2107"," 1.5 լ",NA,"","https://www.list.am/item/17987676"
"...451","2002",NA,NA,NA,NA,"4000","136000",NA,NA,"Gas",NA,NA,NA,NA,"list 2","Volkswagen Passat"," 2.8 լ",NA,"","https://www.list.am/item/17924115"
"...452","2007",NA,NA,NA,NA,"2400","141000",NA,NA,"Gasoline",NA,NA,NA,NA,"list 3","VAZ (Lada) Kalina հետչբեք"," 1.6 լ",NA,"","https://www.list.am/item/17991568"
"...453","2001",NA,NA,NA,NA,"3500","24000",NA,NA,"Gas",NA,NA,NA,NA,"list 4","Infiniti I30"," 3.0 լ",NA,"","https://www.list.am/item/17963173"
"...454","2007",NA,NA,NA,NA,"4200","120000",NA,NA,"Gasoline",NA,NA,NA,NA,"list 5","DongFeng MPV"," 2.0 լ",NA,"","https://www.list.am/item/17830704"
"...455","2001",NA,NA,NA,NA,"2000","",NA,NA,"Gasoline",NA,NA,NA,NA,"list 6","VAZ (Lada) 21099"," 1.5 լ",NA,"","https://www.list.am/item/16405982"
"...456","2002",NA,NA,NA,NA,"4300","126000",NA,NA,"Gas",NA,NA,NA,NA,"list 7","Land Rover Freelander"," 2.5 լ",NA,"լիաքարշ","https://www.list.am/item/17951255"
"...457","2000",NA,NA,NA,NA,"1900","100000",NA,NA,"Gas",NA,NA,NA,NA,"list 8","VAZ (Lada) 21099"," 1.5 լ",NA,"","https://www.list.am/item/17397187"
"...458","2008",NA,NA,NA,NA,"4000","140000",NA,NA,"Gasoline",NA,NA,NA,NA,"list 9","VAZ (Lada) Priora"," 1.6 լ",NA,"","https://www.list.am/item/17950377"
"...459","2000",NA,NA,NA,NA,"3500","",NA,NA,"Gas",NA,NA,NA,NA,"list 10","Opel Astra հետչբեք"," 1.6 լ",NA,"","https://www.list.am/item/17232267"
"...460","2000",NA,NA,NA,NA,"1900","100000",NA,NA,"Gas",NA,NA,NA,NA,"list 11","VAZ (Lada) 21099"," 1.5 լ",NA,"","https://www.list.am/item/12456468"
"...461","2010",NA,NA,NA,NA,"3500","54000",NA,NA,"Gasoline",NA,NA,NA,NA,"list 12","VAZ (Lada) 2107"," 1.6 լ",NA,"","https://www.list.am/item/17504080"
"...462","2007",NA,NA,NA,NA,"3200","120000",NA,NA,"Gas",NA,NA,NA,NA,"list 13","VAZ (Lada) 2110"," 1.6 լ",NA,"","https://www.list.am/item/17667251"
"...463","2007",NA,NA,NA,NA,"2300","140000",NA,NA,"Gas",NA,NA,NA,NA,"list 14","VAZ (Lada) 2114 հետչբեք"," 1.5 լ",NA,"","https://www.list.am/item/17765259"
"...464","2002",NA,NA,NA,NA,"3000","150000",NA,NA,"Gas",NA,NA,NA,NA,"list 15","Volkswagen Passat"," 2.0 լ",NA,"","https://www.list.am/item/17463017"
"...465","2000",NA,NA,NA,NA,"2600","140000",NA,NA,"Gas",NA,NA,NA,NA,"list 16","GAZ (ГАЗ) 3110 Volga"," 2.3 լ",NA,"","https://www.list.am/item/17638077"
"...466","2000",NA,NA,NA,NA,"4100","",NA,NA,"Gas",NA,NA,NA,NA,"list 17","VAZ (Lada) 2121 (4x4)"," 1.7 լ",NA,"լիաքարշ","https://www.list.am/item/17236137"
"...467","2000",NA,NA,NA,NA,"4000","12345",NA,NA,"Gas",NA,NA,NA,NA,"list 18","Opel Vectra"," 1.8 լ",NA,"","https://www.list.am/item/16472400"
"...468","2008",NA,NA,NA,NA,"2300","150000",NA,NA,"Gas",NA,NA,NA,NA,"list 19","Daewoo Matiz հետչբեք"," 0.8 լ",NA,"","https://www.list.am/item/17657046"
"...469","2007",NA,NA,NA,NA,"3500","62000",NA,NA,"Gas",NA,NA,NA,NA,"list 20","UAZ (УАЗ) 31514 ունիվերսալ"," 2.0 լ",NA,"լիաքարշ","https://www.list.am/item/17772639"
"...470","2000",NA,NA,NA,NA,"2300","12345",NA,NA,"Gas",NA,NA,NA,NA,"list 21","Ford Escort"," 1.6 լ",NA,"","https://www.list.am/item/17559913"
"...471","2016",NA,NA,NA,NA,"3500","119000",NA,NA,"Gas",NA,NA,NA,NA,"list 22","Daewoo Nexia"," 1.5 լ",NA,"","https://www.list.am/item/16713901"
"...472","2003",NA,NA,NA,NA,"3600","",NA,NA,"Gas",NA,NA,NA,NA,"list 23","UAZ (УАЗ) Hunter"," 2.2 լ",NA,"լիաքարշ","https://www.list.am/item/17772682"
"...473","2003",NA,NA,NA,NA,"4000","",NA,NA,"Gas",NA,NA,NA,NA,"list 24","UAZ (УАЗ) Hunter"," 2.2 լ",NA,"լիաքարշ","https://www.list.am/item/17659969"
"...474","2005",NA,NA,NA,NA,"3800","",NA,NA,"Gasoline",NA,NA,NA,NA,"list 25","Chevrolet Equinox"," 3.4 լ",NA,"","https://www.list.am/item/17119774"
"...475","2000",NA,NA,NA,NA,"3500","19000",NA,NA,"Gas",NA,NA,NA,NA,"list 26","Opel Astra"," 1.2 լ",NA,"","https://www.list.am/item/17589703"
"...476","2004",NA,NA,NA,NA,"3800","123456",NA,NA,"Gas",NA,NA,NA,NA,"list 27","Renault Scenic"," 1.6 լ",NA,"","https://www.list.am/item/16853061"
"...477","2010",NA,NA,NA,NA,"2800","85000",NA,NA,"Gas",NA,NA,NA,NA,"list 28","VAZ (Lada) 2107"," 1.7 լ",NA,"","https://www.list.am/item/17982524"
"...478","2007",NA,NA,NA,NA,"1000","72000",NA,NA,"Gasoline",NA,NA,NA,NA,"list 29","GAZ (ГАЗ) 31105 Volga"," 2.5 լ",NA,"","https://www.list.am/item/16150343"
"...479","2004",NA,NA,NA,NA,"2350","144000",NA,NA,"Gas",NA,NA,NA,NA,"list 30","VAZ (Lada) 2107"," 1.6 լ",NA,"","https://www.list.am/item/17463694"
"...480","2012",NA,NA,NA,NA,"3000","120000",NA,NA,"Gas",NA,NA,NA,NA,"list 31","Daewoo Damas"," 0.8 լ",NA,"","https://www.list.am/item/17969851"
"...481","2008",NA,NA,NA,NA,"1800","",NA,NA,"Gasoline",NA,NA,NA,NA,"list 32","VAZ (Lada) 1111 Oka"," 1.1 լ",NA,"","https://www.list.am/item/17812393"
"...482","2000",NA,NA,NA,NA,"3000","",NA,NA,"Gas",NA,NA,NA,NA,"list 33","Opel Vectra ունիվերսալ"," 1.6 լ",NA,"","https://www.list.am/item/16175206"
"...483","2010",NA,NA,NA,NA,"4000","120000",NA,NA,"Gas",NA,NA,NA,NA,"list 34","VAZ (Lada) 2121 Niva"," 1.7 լ",NA,"լիաքարշ","https://www.list.am/item/15064154"
"...484","2001",NA,NA,NA,NA,"4500","145500",NA,NA,"Gasoline",NA,NA,NA,NA,"list 35","Mitsubishi Eclipse կուպե"," 2.0 լ",NA,"","https://www.list.am/item/14032678"
"...485","2005",NA,NA,NA,NA,"4400","75000",NA,NA,"Gas",NA,NA,NA,NA,"list 36","GAZ (ГАЗ) ГАЗель"," 3.0 լ",NA,"","https://www.list.am/item/17798535"
"...486","2005",NA,NA,NA,NA,"2450","150000",NA,NA,"Gas",NA,NA,NA,NA,"list 37","GAZ (ГАЗ) ГАЗель"," 2.0 լ",NA,"","https://www.list.am/item/17741750"
"...487","2010",NA,NA,NA,NA,"3500","100000",NA,NA,"Gas",NA,NA,NA,NA,"list 38","VAZ (Lada) 2107"," 1.7 լ",NA,"","https://www.list.am/item/17987867"
"...488","2003",NA,NA,NA,NA,"4300","136000",NA,NA,"Gasoline",NA,NA,NA,NA,"list 39","Opel Astra հետչբեք"," 1.6 լ",NA,"","https://www.list.am/item/17642884"
"...489","2006",NA,NA,NA,NA,"3200","",NA,NA,"Gasoline",NA,NA,NA,NA,"list 40","Chevrolet Equinox"," 3.4 լ",NA,"լիաքարշ","https://www.list.am/item/14914315"
"...490","2006",NA,NA,NA,NA,"2900","107000",NA,NA,"Gasoline",NA,NA,NA,NA,"list 41","Peugeot 206 հետչբեք"," 1.4 լ",NA,"","https://www.list.am/item/17867497"
"...491","2006",NA,NA,NA,NA,"2200","140000",NA,NA,"Gas",NA,NA,NA,NA,"list 42","VAZ (Lada) 2110"," 1.6 լ",NA,"","https://www.list.am/item/17669450"
"...492","2010",NA,NA,NA,NA,"4000","70000",NA,NA,"Gas",NA,NA,NA,NA,"list 43","VAZ (Lada) 2107"," 1.7 լ",NA,"","https://www.list.am/item/17553922"
"...493","2002",NA,NA,NA,NA,"Փնտրում եմ","",NA,NA,"Gasoline",NA,NA,NA,NA,"list 44","Opel Astra հետչբեք"," 1.8 լ",NA,"","https://www.list.am/item/17526005"
"...494","2006",NA,NA,NA,NA,"3000","",NA,NA,"Gas",NA,NA,NA,NA,"list 45","VAZ (Lada) 2110"," 1.6 լ",NA,"","https://www.list.am/item/17773616"
"...495","2008",NA,NA,NA,NA,"3100","13578",NA,NA,"Gas",NA,NA,NA,NA,"list 46","VAZ (Lada) 2107"," 1.7 լ",NA,"","https://www.list.am/item/17880789"
"...496","2004",NA,NA,NA,NA,"2600","125000",NA,NA,"Gas",NA,NA,NA,NA,"list 47","VAZ (Lada) 2107"," 1.7 լ",NA,"","https://www.list.am/item/17741840"
"...497","2001",NA,NA,NA,NA,"3800","100000",NA,NA,"Gasoline",NA,NA,NA,NA,"list 48","Kia Sedona"," 3.5 լ",NA,"","https://www.list.am/item/15900519"
"...498","2003",NA,NA,NA,NA,"1800","98888",NA,NA,"Gas",NA,NA,NA,NA,"list 49","Ford Focus"," 2.0 լ",NA,"լիաքարշ","https://www.list.am/item/16864930"
"...499","2007",NA,NA,NA,NA,"4000","",NA,NA,"Gas",NA,NA,NA,NA,"list 50","VAZ (Lada) 2107"," 1.7 լ",NA,"","https://www.list.am/item/17398656"
"...500","2002",NA,NA,NA,NA,"1800","95000",NA,NA,"Gas",NA,NA,NA,NA,"list 51","VAZ (Lada) 2107"," 1.5 լ",NA,"","https://www.list.am/item/15671526"
"...501","2002",NA,NA,NA,NA,"2800","",NA,NA,"Gasoline",NA,NA,NA,NA,"list 52","Opel Vectra"," 2.2 լ",NA,"","https://www.list.am/item/17961144"
"...502","2007",NA,NA,NA,NA,"3500","20000",NA,NA,"Gas",NA,NA,NA,NA,"list 53","VAZ (Lada) 2107"," 1.5 լ",NA,"","https://www.list.am/item/16307771"
"...503","2005",NA,NA,NA,NA,"2000","80485",NA,NA,"Gas",NA,NA,NA,NA,"list 54","VAZ (Lada) 2107"," 1.7 լ",NA,"","https://www.list.am/item/17896391"
"...504","2002",NA,NA,NA,NA,"2700","",NA,NA,"Gas",NA,NA,NA,NA,"list 55","Citroen C5"," 1.7 լ",NA,"","https://www.list.am/item/17427128"
"...505","2005",NA,NA,NA,NA,"4000","95000",NA,NA,"Gasoline",NA,NA,NA,NA,"list 56","Peugeot Partner"," 1.9 լ",NA,"","https://www.list.am/item/17580850"
"...506","2010",NA,NA,NA,NA,"2500","73000",NA,NA,"Gas",NA,NA,NA,NA,"list 57","Iran Khodro Samand"," 1.8 լ",NA,"","https://www.list.am/item/16937465"
"...507","2002",NA,NA,NA,NA,"1950","150000",NA,NA,"Gas",NA,NA,NA,NA,"list 58","VAZ (Lada) 21099"," 1.5 լ",NA,"","https://www.list.am/item/17429292"
"...508","2005",NA,NA,NA,NA,"3800","",NA,NA,"Gas",NA,NA,NA,NA,"list 59","VAZ (Lada) 2121 (4x4)"," 1.7 լ",NA,"լիաքարշ","https://www.list.am/item/17923984"
"...509","2007",NA,NA,NA,NA,"2000","13800",NA,NA,"Gas",NA,NA,NA,NA,"list 60","VAZ (Lada) 2107"," 1.7 լ",NA,"","https://www.list.am/item/11921008"
"...510","2008",NA,NA,NA,NA,"4000","",NA,NA,"Gas",NA,NA,NA,NA,"list 61","Ford C-MAX ունիվերսալ"," 1.8 լ",NA,"","https://www.list.am/item/15604546"
"...511","2007",NA,NA,NA,NA,"3550","98988",NA,NA,"Gas",NA,NA,NA,NA,"list 62","Skoda Roomster"," 1.4 լ",NA,"","https://www.list.am/item/17866716"
"...512","2000",NA,NA,NA,NA,"4500","",NA,NA,"Gas",NA,NA,NA,NA,"list 63","Opel Zafira"," 1.8 լ",NA,"","https://www.list.am/item/17745278"
"...513","2007",NA,NA,NA,NA,"3600","20000",NA,NA,"Gas",NA,NA,NA,NA,"list 64","VAZ (Lada) 2112 հետչբեք"," 1.6 լ",NA,"","https://www.list.am/item/17618648"
"...514","2001",NA,NA,NA,NA,"3500","",NA,NA,"Gas",NA,NA,NA,NA,"list 65","Opel Astra"," 1.6 լ",NA,"","https://www.list.am/item/17729239"
