"autopro_image","autopro_url","autopro_Date","autopro_Details","autopro_Fullname","autopro_Fullname_url","autopro_year"
"https://autopro.am/photos/2019/05/27/1437715481259sm.jpeg","https://autopro.am/car.php?id=32081","27.05.2019","Գազ/Բենզին
134000 կմ
Մեխանիկական
Անթերի
Ձախ
-","VAZ (Lada) 2170 Priora","https://autopro.am/car.php?id=32081","2008թ."
"https://autopro.am/photos/2019/05/01/1435011220520sm.jpeg","https://autopro.am/car.php?id=31380","01.05.2019","Գազ/Բենզին 2.3 լ
130000 կմ
Ավտոմատ
Անթերի
Աջ
Առջևի քարշակ","Nissan Teana","https://autopro.am/car.php?id=31380","2003թ."
"https://autopro.am/photos/2019/04/21/1280610572706sm.jpeg","https://autopro.am/car.php?id=31193","21.04.2019","Գազ 1.7 լ
105000 կմ
Մեխանիկական
Անթերի
Ձախ
Ետևի քարշակ","VAZ (Lada) 2107 1.7 инжектор","https://autopro.am/car.php?id=31193","2011թ."
"https://autopro.am/photos/2019/04/18/1430111317214sm.jpeg","https://autopro.am/car.php?id=31169","18.04.2019","Գազ/Բենզին 1.6 լ
122000 կմ
Մեխանիկական
Անթերի
Ձախ
Առջևի քարշակ","VAZ (Lada) 2115","https://autopro.am/car.php?id=31169","2007թ."
"https://autopro.am/photos/2019/02/23/1408511249362sm.jpeg","https://autopro.am/car.php?id=30840","23.02.2019","Բենզին 1.5 լ
100500 կմ
Ավտոմատ
Անթերի
Աջ
Առջևի քարշակ","Nissan Tiida","https://autopro.am/car.php?id=30840","2006թ."
"https://autopro.am/photos/2019/02/02/191313004087sm.jpeg","https://autopro.am/car.php?id=30760","02.02.2019","Գազ/Բենզին 1.6 լ
140000 կմ
Մեխանիկական
Անթերի
Ձախ
Առջևի քարշակ","Opel Astra G","https://autopro.am/car.php?id=30760","2002թ."
"https://autopro.am/photos/2019/01/24/1397413805675sm.jpeg","https://autopro.am/car.php?id=30734","24.01.2019","Դիզել 1.5 լ
147000 կմ
Ավտոմատ
Անթերի
Ձախ
Առջևի քարշակ","Hyundai Accent Verna","https://autopro.am/car.php?id=30734","2005թ."
"https://autopro.am/photos/2018/12/12/1384913429906sm.jpeg","https://autopro.am/car.php?id=30528","12.12.2018","Բենզին 1.6 լ
110000 կմ
Մեխանիկական
Անթերի
Ձախ
Առջևի քարշակ","VAZ (Lada) 2170 Priora","https://autopro.am/car.php?id=30528","2008թ."
"https://autopro.am/photos/2018/11/07/1374515159470sm.jpeg","https://autopro.am/car.php?id=30412","07.11.2018","Բենզին 2.5 լ
102000 կմ
Ավտոմատ
Անթերի
Աջ
Ետևի քարշակ","Nissan Skyline","https://autopro.am/car.php?id=30412","2005թ."
"https://autopro.am/photos/2018/08/16/1353619291511sm.jpeg","https://autopro.am/car.php?id=30183","16.08.2018","Գազ 1.5 լ
115000 կմ
Ավտոմատ
Անթերի
Աջ
Առջևի քարշակ","Nissan Tiida","https://autopro.am/car.php?id=30183","2004թ."
"https://autopro.am/photos/2018/07/27/1348011453861sm.jpeg","https://autopro.am/car.php?id=29993","27.07.2018","Բենզին 2.3 լ
135000 կմ
Ավտոմատ
Անթերի
Աջ դարձրած Ձախ
Առջևի քարշակ","Nissan Teana 2.3JK","https://autopro.am/car.php?id=29993","2003թ."
"https://autopro.am/photos/2018/04/24/1328610528302sm.jpeg","https://autopro.am/car.php?id=29763","24.04.2018","Գազ 3.5 լ
126000 կմ
Ավտոմատ
Անթերի
Աջ
Լիաքարշակ","Nissan Elgrand AYo","https://autopro.am/car.php?id=29763","2003թ."
"https://autopro.am/photos/2018/04/15/1327312176768sm.jpeg","https://autopro.am/car.php?id=29746","15.04.2018","Գազ/Բենզին
110000 կմ
Մեխանիկական
Անթերի
Ձախ
-","VAZ (Lada) 2170 Priora","https://autopro.am/car.php?id=29746","2012թ."
"https://autopro.am/photos/2018/03/12/1316515255638sm.jpeg","https://autopro.am/car.php?id=29619","12.03.2018","Գազ/Բենզին 2.0 լ
000000 կմ
Ավտոմատ
Անթերի
Ձախ
Լիաքարշակ","Mitsubishi Pajero","https://autopro.am/car.php?id=29619","2001թ."
"https://autopro.am/photos/2018/03/08/1269719996268sm.jpeg","https://autopro.am/car.php?id=29607","08.03.2018","Բենզին
130000 կմ
Ավտոմատ
Անթերի
Աջ
-","Nissan Blue Bird","https://autopro.am/car.php?id=29607","2006թ."
"https://autopro.am/photos/2018/02/26/1312513617688sm.jpeg","https://autopro.am/car.php?id=29569","26.02.2018","Բենզին
127000 կմ
Ավտոմատ
Անթերի
Ձախ
-","Mercedes-Benz 230","https://autopro.am/car.php?id=29569","2005թ."
"https://autopro.am/photos/2018/01/18/1298415411511sm.jpeg","https://autopro.am/car.php?id=29418","18.01.2018","Բենզին 2.0 լ
105000 կմ
Ավտոմատ
Անթերի
Աջ
-","Nissan Blue Bird","https://autopro.am/car.php?id=29418","2009թ."
"https://autopro.am/photos/2018/01/18/1298415392797sm.jpeg","https://autopro.am/car.php?id=29416","18.01.2018","Բենզին 2.2 լ
130000 կմ
Ավտոմատ
Անթերի
Աջ
-","BMW 320 M SPORT","https://autopro.am/car.php?id=29416","2002թ."
"https://autopro.am/photos/2018/01/18/1298417160731sm.jpeg","https://autopro.am/car.php?id=29413","18.01.2018","Բենզին 3.5 լ
127329 կմ
Ավտոմատ
Անթերի
Աջ
-","Nissan Fuga","https://autopro.am/car.php?id=29413","2005թ."
"https://autopro.am/photos/2017/10/25/1273216833890sm.jpeg","https://autopro.am/car.php?id=29110","25.10.2017","Բենզին 2.5 լ
122000 կմ
Ավտոմատ
Անթերի
Աջ
Ետևի քարշակ","Nissan Skyline","https://autopro.am/car.php?id=29110","2004թ."
"https://autopro.am/photos/2017/10/01/1266814532997sm.jpeg","https://autopro.am/car.php?id=29017","01.10.2017","Բենզին 2.0 լ
124000 կմ
Ավտոմատ
Անթերի
Ձախ
Առջևի քարշակ","Volkswagen Golf","https://autopro.am/car.php?id=29017","2002թ."
"https://autopro.am/photos/2017/09/15/1264019933411sm.jpeg","https://autopro.am/car.php?id=28959","15.09.2017","Բենզին 2.3 լ
130000 կմ
Ավտոմատ
Անթերի
Ձախ
-","Nissan Teana","https://autopro.am/car.php?id=28959","2004թ."
"https://autopro.am/photos/2017/09/01/1253513202565sm.jpeg","https://autopro.am/car.php?id=28922","01.09.2017","Գազ/Բենզին 2.3 լ
115000 կմ
Ավտոմատ
Անթերի
Աջ
Առջևի քարշակ","Nissan Teana","https://autopro.am/car.php?id=28922","2003թ."
"https://autopro.am/photos/2017/02/25/1211315181687sm.jpeg","https://autopro.am/car.php?id=28241","25.02.2017","Գազ/Բենզին 1.3 լ
108000 կմ
Ավտոմատ
Անթերի
Աջ
Առջևի քարշակ","Mazda Demio","https://autopro.am/car.php?id=28241","2003թ."
"https://autopro.am/photos/2017/02/19/1209618577784sm.jpeg","https://autopro.am/car.php?id=28209","19.02.2017","Բենզին 1.5 լ
136000 կմ
Ավտոմատ
Անթերի
Աջ
Լիաքարշակ","Nissan Tiida Latio","https://autopro.am/car.php?id=28209","2007թ."
"https://autopro.am/photos/2016/10/21/528612315151sm.jpeg","https://autopro.am/car.php?id=27672","21.10.2016","Գազ/Բենզին 1.6 լ
1 կմ
Մեխանիկական
Անթերի
Ձախ
Առջևի քարշակ","KIA Cerato EX","https://autopro.am/car.php?id=27672","2006թ."
"https://autopro.am/photos/2016/10/14/1170012676857sm.jpeg","https://autopro.am/car.php?id=27647","14.10.2016","Գազ/Բենզին 1.3 լ
150000 կմ
Ավտոմատ
Անթերի
Աջ
Առջևի քարշակ","Mitsubishi Colt 1","https://autopro.am/car.php?id=27647","2002թ."
"https://autopro.am/photos/2016/08/28/1159017958846sm.jpeg","https://autopro.am/car.php?id=27446","28.08.2016","Բենզին
100000 կմ
Մեխանիկական
Անթերի
Ձախ
-","VAZ (Lada) 2110","https://autopro.am/car.php?id=27446","2004թ."
"https://autopro.am/photos/2016/06/07/1138317151176sm.jpeg","https://autopro.am/car.php?id=27095","07.06.2016","Գազ 1.5 լ
111111 կմ
Մեխանիկական
Անթերի
Ձախ
Առջևի քարշակ","VAZ (Lada) 2110","https://autopro.am/car.php?id=27095","2003թ."
"https://autopro.am/photos/2016/03/24/440919736718sm.jpeg","https://autopro.am/car.php?id=26565","24.03.2016","Գազ/Բենզին 2.3 լ
130000 կմ
Ավտոմատ
Անթերի
Աջ
Առջևի քարշակ","Nissan Teana JM230","https://autopro.am/car.php?id=26565","2004թ."
"https://autopro.am/photos/2015/11/29/1054310138142sm.jpeg","https://autopro.am/car.php?id=25096","29.11.2015","Գազ/Բենզին 2.4 լ
126000 կմ
Մեխանիկական
Անթերի
Ձախ
Ետևի քարշակ","Gaz 31105 ELEGACE","https://autopro.am/car.php?id=25096","2005թ."
"https://autopro.am/photos/2015/10/26/1038511518798sm.jpeg","https://autopro.am/car.php?id=24748","26.10.2015","Գազ/Բենզին 1.2 լ
15000 կմ
Մեխանիկական
Անթերի
Ձախ
Ետևի քարշակ","VAZ (Lada) 2107 ayo","https://autopro.am/car.php?id=24748","2007թ."
"https://autopro.am/photos/2015/10/23/63918955952sm.jpeg","https://autopro.am/car.php?id=24715","23.10.2015","Գազ/Բենզին 1.6 լ
140000 կմ
Մեխանիկական
Անթերի
Ձախ
Առջևի քարշակ","Rover 45 pagovi","https://autopro.am/car.php?id=24715","2004թ."
"https://autopro.am/photos/2015/10/19/1030916970707sm.png","https://autopro.am/car.php?id=24655","19.10.2015","Բենզին 2.3 լ
123000 կմ
Ավտոմատ
Անթերի
Աջ
Առջևի քարշակ","Nissan Teana 2.3 jm","https://autopro.am/car.php?id=24655","2003թ."
"https://autopro.am/photos/2015/09/15/1016615478037sm.jpeg","https://autopro.am/car.php?id=24233","15.09.2015","Գազ/Բենզին 1.7 լ
130000 կմ
Մեխանիկական
Անթերի
Ձախ
-","VAZ (Lada) 2107 2008","https://autopro.am/car.php?id=24233","2008թ."
"https://autopro.am/photos/2015/09/09/345412522847sm.jpeg","https://autopro.am/car.php?id=24135","09.09.2015","Բենզին 1.7 լ
114000 կմ
Մեխանիկական
Անթերի
Ձախ
Առջևի քարշակ","VAZ (Lada) 2170 Priora expert","https://autopro.am/car.php?id=24135","2008թ."
"https://autopro.am/photos/2015/09/02/1005918607544sm.jpeg","https://autopro.am/car.php?id=24056","02.09.2015","Բենզին 2.3 լ
130000 կմ
Ավտոմատ
Անթերի
Աջ
-","Nissan Teana","https://autopro.am/car.php?id=24056","2003թ."
"https://autopro.am/photos/2015/08/25/345416105592sm.jpeg","https://autopro.am/car.php?id=23917","25.08.2015","Բենզին 1.7 լ
114000 կմ
Մեխանիկական
Անթերի
Ձախ
Առջևի քարշակ","VAZ (Lada) 2170 Priora 21073 EXPERT","https://autopro.am/car.php?id=23917","2008թ."
"https://autopro.am/photos/2015/08/23/970313590365sm.jpeg","https://autopro.am/car.php?id=23872","23.08.2015","Գազ 2.3 լ
11000 կմ
Ավտոմատ
Անթերի
Աջ
-","Nissan Teana J31","https://autopro.am/car.php?id=23872","2003թ."
"https://autopro.am/photos/2015/07/23/986714052066sm.jpeg","https://autopro.am/car.php?id=23516","23.07.2015","Բենզին 2.5 լ
100000 կմ
Կիսաավտոմատ
Անթերի
Աջ
Ետևի քարշակ","Nissan Skyline 2wd","https://autopro.am/car.php?id=23516","2002թ."
"https://autopro.am/photos/2015/04/28/825313987744sm.jpeg","https://autopro.am/car.php?id=22316","28.04.2015","Բենզին
111 կմ
Մեխանիկական
Անթերի
Ձախ
-","VAZ (Lada) 2107 poxanakum","https://autopro.am/car.php?id=22316","2008թ."
"https://autopro.am/photos/2015/01/30/870019173433sm.jpeg","https://autopro.am/car.php?id=20332","30.01.2015","Գազ/Բենզին 1.8 լ
148000 կմ
Մեխանիկական
Անթերի
Ձախ
Առջևի քարշակ","Ford Mondeo","https://autopro.am/car.php?id=20332","2001թ."
"https://autopro.am/photos/2014/12/25/849016477781sm.jpeg","https://autopro.am/car.php?id=19570","25.12.2014","Գազ/Բենզին 1.5 լ
130000 կմ
Ավտոմատ
Անթերի
Աջ
Առջևի քարշակ","Honda Mobilio","https://autopro.am/car.php?id=19570","2005թ."
"https://autopro.am/photos/2014/12/23/362419608661sm.jpeg","https://autopro.am/car.php?id=19553","23.12.2014","Բենզին 1.2 լ
100000 կմ
Ավտոմատ
Անթերի
Աջ
Առջևի քարշակ","Nissan March 093045099","https://autopro.am/car.php?id=19553","2005թ."
"https://autopro.am/photos/2014/11/30/381218809997sm.jpeg","https://autopro.am/car.php?id=19033","30.11.2014","Գազ/Բենզին 1.6 լ
110000 կմ
Մեխանիկական
Անթերի
Ձախ
Ետևի քարշակ","VAZ (Lada) 2107","https://autopro.am/car.php?id=19033","2005թ."
"https://autopro.am/photos/2014/11/27/381213719251sm.jpeg","https://autopro.am/car.php?id=18970","27.11.2014","Գազ/Բենզին 2.4 լ
150000 կմ
Մեխանիկական
Անթերի
Ձախ
Ետևի քարշակ","Gaz 31105","https://autopro.am/car.php?id=18970","2006թ."
"https://autopro.am/photos/2014/11/06/807318087846sm.jpeg","https://autopro.am/car.php?id=18564","06.11.2014","Գազ/Բենզին 1.6 լ
144065 կմ
Մեխանիկական
Անթերի
Ձախ
Առջևի քարշակ","VAZ (Lada) 2110","https://autopro.am/car.php?id=18564","2005թ."
"https://autopro.am/photos/2014/07/22/725019444715sm.jpeg","https://autopro.am/car.php?id=16446","22.07.2014","Բենզին 1.5 լ
139000 կմ
Ավտոմատ
Անթերի
Աջ
Առջևի քարշակ","Nissan Tiida","https://autopro.am/car.php?id=16446","2007թ."
"https://autopro.am/photos/2014/07/10/715318830025sm.jpeg","https://autopro.am/car.php?id=16205","10.07.2014","Բենզին 1.2 լ
120000 կմ
Ավտոմատ
Անթերի
Աջ
Առջևի քարշակ","Nissan March","https://autopro.am/car.php?id=16205","2005թ."
"https://autopro.am/photos/2014/07/02/708417479405sm.jpeg","https://autopro.am/car.php?id=16039","02.07.2014","Բենզին 1.8 լ
144000 կմ
Մեխանիկական
Անթերի
Ձախ
Առջևի քարշակ","Opel Vectra B","https://autopro.am/car.php?id=16039","2001թ."
"https://autopro.am/photos/2014/06/23/419817474252sm.jpeg","https://autopro.am/car.php?id=15827","23.06.2014","Գազ/Բենզին 1.6 լ
117000 կմ
Մեխանիկական
Անթերի
Ձախ
Առջևի քարշակ","VAZ (Lada) 2110","https://autopro.am/car.php?id=15827","2006թ."
"https://autopro.am/photos/2014/06/23/381217906563sm.jpeg","https://autopro.am/car.php?id=15809","23.06.2014","Գազ/Բենզին 1.6 լ
150000 կմ
Մեխանիկական
Անթերի
Ձախ
Ետևի քարշակ","VAZ (Lada) 2107","https://autopro.am/car.php?id=15809","2003թ."
"https://autopro.am/photos/2014/03/30/381217983438sm.jpeg","https://autopro.am/car.php?id=14115","30.03.2014","Գազ/Բենզին 1.6 լ
130000 կմ
Մեխանիկական
Անթերի
Ձախ
Առջևի քարշակ","VAZ (Lada) 2110","https://autopro.am/car.php?id=14115","2006թ."
"https://autopro.am/photos/2014/03/28/654016676272sm.jpeg","https://autopro.am/car.php?id=14083","28.03.2014","Բենզին 1.6 լ
11800 կմ
Ավտոմատ
Անթերի
Ձախ
Առջևի քարշակ","Mercedes-Benz A 160 .","https://autopro.am/car.php?id=14083","2001թ."
"https://autopro.am/photos/2014/03/22/324411286225sm.jpeg","https://autopro.am/car.php?id=13919","22.03.2014","Բենզին 1.4 լ
132000 կմ
Մեխանիկական
Անթերի
Ձախ
Առջևի քարշակ","Opel Corsa MEQENAN BERVELE BELG","https://autopro.am/car.php?id=13919","2004թ."
"https://autopro.am/photos/2014/03/18/381213061061sm.jpeg","https://autopro.am/car.php?id=13808","18.03.2014","Գազ/Բենզին 1.5 լ
104000 կմ
Մեխանիկական
Անթերի
Ձախ
Առջևի քարշակ","VAZ (Lada) 2110","https://autopro.am/car.php?id=13808","2003թ."
"https://autopro.am/photos/2014/02/20/614416292988sm.jpeg","https://autopro.am/car.php?id=13151","20.02.2014","Բենզին 2.0 լ
140000 կմ
Մեխանիկական
Անթերի
Ձախ
Ետևի քարշակ","Gaz 3110 Volga","https://autopro.am/car.php?id=13151","2003թ."
"https://autopro.am/photos/2014/01/09/582111252926sm.jpeg","https://autopro.am/car.php?id=12138","09.01.2014","Բենզին 1.5 լ
106340 կմ
Մեխանիկական
Անթերի
Ձախ
Առջևի քարշակ","VAZ (Lada) 2110","https://autopro.am/car.php?id=12138","2001թ."
"https://autopro.am/photos/2013/10/25/519415648667sm.jpeg","https://autopro.am/car.php?id=10416","25.10.2013","Գազ/Բենզին 1.6 լ
105000 կմ
Մեխանիկական
Անթերի
Ձախ
-","VAZ (Lada) 2110","https://autopro.am/car.php?id=10416","2007թ."
"https://autopro.am/photos/2013/10/01/217419760085sm.jpeg","https://autopro.am/car.php?id=9697","01.10.2013","Բենզին 1.3 լ
133000 կմ
Ավտոմատ
Անթերի
Աջ
-","Mazda Demio","https://autopro.am/car.php?id=9697","2004թ."
"https://autopro.am/photos/2013/09/22/486019204556sm.jpeg","https://autopro.am/car.php?id=9390","22.09.2013","Գազ/Բենզին 2.4 լ
133000 կմ
Մեխանիկական
Անթերի
Ձախ
Ետևի քարշակ","Gaz 3102","https://autopro.am/car.php?id=9390","2003թ."
"https://autopro.am/photos/2013/09/16/479115420921sm.jpeg","https://autopro.am/car.php?id=9172","16.09.2013","Բենզին 1.3 լ
130000 կմ
Ավտոմատ
Անթերի
Աջ
Առջևի քարշակ","Honda Fit 1.3 AVTOMAT","https://autopro.am/car.php?id=9172","2002թ."
"https://autopro.am/photos/2013/08/14/449513835771sm.jpeg","https://autopro.am/car.php?id=7980","14.08.2013","Գազ/Բենզին 1.6 լ
120000 կմ
Մեխանիկական
Անթերի
Ձախ
Ետևի քարշակ","VAZ (Lada) 2107","https://autopro.am/car.php?id=7980","2004թ."
"https://autopro.am/photos/2013/07/14/410912151400sm.jpeg","https://autopro.am/car.php?id=6754","14.07.2013","Գազ/Բենզին 1.5 լ
147000 կմ
Մեխանիկական
Անթերի
Ձախ
Առջևի քարշակ","VAZ (Lada) 2115","https://autopro.am/car.php?id=6754","2005թ."
"https://autopro.am/photos/2013/05/29/326217322408sm.jpeg","https://autopro.am/car.php?id=4732","29.05.2013","Բենզին 1.2 լ
118630 կմ
Ավտոմատ
Անթերի
Աջ
Առջևի քարշակ","Nissan March","https://autopro.am/car.php?id=4732","2003թ."
"https://autopro.am/photos/2013/05/21/303911014148sm.jpeg","https://autopro.am/car.php?id=4353","21.05.2013","Բենզին 1.0 լ
100000 կմ
Մեխանիկական
Անթերի
Ձախ
Առջևի քարշակ","Daihatsu Coure","https://autopro.am/car.php?id=4353","2001թ."
"https://autopro.am/photos/2013/05/19/297719164094sm.jpeg","https://autopro.am/car.php?id=4247","19.05.2013","Գազ/Բենզին 1.6 լ
100000 կմ
Մեխանիկական
Անթերի
Ձախ
Ետևի քարշակ","VAZ (Lada) 2107","https://autopro.am/car.php?id=4247","2006թ."
"https://autopro.am/photos/2013/04/11/210512541491sm.jpeg","https://autopro.am/car.php?id=2714","11.04.2013","Բենզին 1.5 լ
1 կմ
Մեխանիկական
Անթերի
Ձախ
Առջևի քարշակ","VAZ (Lada) 2115","https://autopro.am/car.php?id=2714","2004թ."
"https://autopro.am/photos/2013/02/23/104117045788sm.jpeg","https://autopro.am/car.php?id=1166","23.02.2013","Բենզին 1.2 լ
100000 կմ
Ավտոմատ
Անթերի
Աջ
Առջևի քարշակ","Nissan March 1.2L","https://autopro.am/car.php?id=1166","2004թ."
"https://autopro.am/photos/2013/02/13/75719356575sm.jpeg","https://autopro.am/car.php?id=837","13.02.2013","Գազ/Բենզին 1.6 լ
111 կմ
Մեխանիկական
Անթերի
Ձախ
Ետևի քարշակ","VAZ (Lada) 2101","https://autopro.am/car.php?id=837","2013թ."